Date,,CMR,XIC,XIU,XBB,XSB,XIN,XEM,XSP,XQQ,XRE,Absolute,Total,Running ROR,34.20%
"Sep 30 1999",,,,--,,,,,,,,,,,
"Oct 31 1999",,,,6.068816,,,,,,,,,0.00%,,
"Nov 30 1999",,,,3.205680,,,,,,,,,0.00%,,
"Dec 31 1999",,,,11.049525,,,,,,,,,0.00%,,
"Jan 31 2000",,,,0.591165,,,,,,,,,0.00%,,
"Feb 29 2000",,,,4.352470,,,,,,,,,0.00%,,
"Mar 31 2000",,,,9.567974,,,,,,,,,0.00%,,
"Apr 30 2000",,,,-1.555421,,,,,,,,,0.00%,,
"May 31 2000",,,,-0.538429,,,,,,,,,0.00%,,
"Jun 30 2000",,,,11.201241,,,,,,,,,0.00%,,
"Jul 31 2000",,,,3.330382,,,,,,,,,0.00%,,
"Aug 31 2000",,,,7.683552,,,,,,,,,0.00%,,
"Sep 30 2000",,,,-9.873337,,,,,,,,,0.00%,,
"Oct 31 2000",,,,-7.882565,,,,,,,,,0.00%,,
"Nov 30 2000",,,,-7.593151,--,--,,,,,,,,,
"Dec 31 2000",,,,0.805493,0.952725,1.292277,,,,,,,0.00%,,
"Jan 31 2001",,,,4.991224,0.284629,1.009804,,,,,,,0.00%,,
"Feb 28 2001",,,--,-14.726349,0.860106,0.625545,,,,,,,,,
"Mar 31 2001",,,-5.050301,-6.001948,-0.065758,0.389463,,,,,,,0.00%,,
"Apr 30 2001",,,3.554034,3.633311,-2.089585,-0.969848,,,,,,,0.00%,,
"May 31 2001",,,3.495848,2.743894,0.031770,-0.127615,,,--,,,,,,
"Jun 30 2001",,,-4.402451,-5.303564,-0.157522,0.065872,,,-4.338048,,,,0.00%,,
"Jul 31 2001",,,0.151524,0.125735,2.454373,1.937474,,,-0.308257,,,,0.00%,,
"Aug 31 2001",,,-3.165665,-3.200548,2.645372,2.002613,,,-5.000283,,,,0.00%,,
"Sep 30 2001",,,-7.195207,-7.208386,0.557445,1.586795,--,,-6.409979,,,,,,
"Oct 31 2001",,,-0.069580,-0.069872,3.848351,2.633620,3.085186,,2.328688,,,,0.00%,,
"Nov 30 2001",,,8.670990,8.680517,-1.902876,-1.125141,1.590909,,6.627477,,,,0.00%,,
"Dec 31 2001",,,2.706236,2.709976,-0.750430,-0.217746,1.381955,,2.395713,,,,0.00%,,
"Jan 31 2002",,,-0.733202,-0.734521,-0.134299,-0.087997,-5.805546,,-1.888640,,,,0.00%,,
"Feb 28 2002",,,-0.460312,-0.460767,0.893735,0.842207,2.049739,,-1.093830,,,,0.00%,,
"Mar 31 2002",,,2.573207,2.576130,-2.702764,-2.172575,5.105805,,3.103655,,,,0.00%,,
"Apr 30 2002",,,-2.783124,-2.786347,1.730427,1.653395,-1.067591,,-7.622578,,,,0.00%,,
"May 31 2002",,,-0.987214,-0.987960,1.397721,0.890952,-1.156867,,-3.402457,,,,0.00%,,
"Jun 30 2002",,,-6.243168,-6.249881,0.871315,0.985301,-4.933878,,-7.670097,,,,0.00%,,
"Jul 31 2002",,,-7.389916,-7.396727,1.799613,2.014946,-5.601061,,-3.982083,,,,0.00%,,
"Aug 31 2002",,,0.310537,0.310706,2.097329,0.820361,-1.749179,,-0.925143,,,,0.00%,,
"Sep 30 2002",,,-6.885761,-6.891509,1.606337,1.349709,-10.400932,,-9.442102,,,,0.00%,,
"Oct 31 2002",,,1.931006,1.932266,-0.515302,0.218805,4.511339,,7.353590,,--,,,,
