Date,Open,High,Low,Close,Adj Close,Volume
2011-05-10,20.839378,20.891191,20.818653,20.891191,19.294079,1641
2011-05-11,20.911917,20.911917,20.663212,20.694302,19.112244,1834
2011-05-12,20.694302,20.694302,20.694302,20.694302,19.112244,483
2011-05-13,20.808290,20.808290,20.673574,20.673574,19.093100,1834
2011-05-16,20.507772,20.507772,20.466322,20.466322,18.901691,869
2011-05-17,20.196892,20.196892,20.196892,20.196892,18.652857,579
2011-05-18,20.196892,20.196892,20.196892,20.196892,18.652857,0
2011-05-19,20.466322,20.466322,20.466322,20.466322,18.901691,193
2011-05-20,20.518135,20.518135,20.393782,20.393782,18.834700,2027
2011-05-24,20.196892,20.196892,20.031088,20.031088,18.499725,1255
2011-05-25,20.031088,20.031088,20.031088,20.031088,18.499725,0
2011-05-26,20.103626,20.103626,20.103626,20.103626,18.566729,483
2011-05-27,20.238342,20.279793,20.238342,20.269430,18.719849,1544
2011-05-30,20.300518,20.300518,20.300518,20.300518,18.748564,386
2011-05-31,20.487047,20.487047,20.435232,20.435232,18.872980,579
2011-06-01,20.476685,20.476685,20.476685,20.476685,18.911257,676
2011-06-02,20.176167,20.207254,20.155439,20.186527,18.643286,2413
2011-06-03,19.896374,19.896374,19.896374,19.896374,18.375317,38600
2011-06-06,19.958549,19.958549,19.854921,19.875648,18.356174,6852
2011-06-07,19.740932,19.751295,19.709845,19.709845,18.203043,1448
2011-06-08,19.616579,19.616579,19.502590,19.564768,18.069067,4439
2011-06-09,19.564768,19.564768,19.564768,19.564768,18.069067,0
2011-06-10,19.357513,19.367876,19.326426,19.326426,17.848938,1351
2011-06-13,19.347151,19.347151,19.347151,19.347151,17.868080,483
2011-06-14,19.575130,19.575130,19.575130,19.575130,18.078625,4922
2011-06-15,19.430052,19.430052,19.212435,19.212435,17.743662,2220
2011-06-16,19.139896,19.170984,19.139896,19.170984,17.705381,965
2011-06-17,19.170984,19.170984,19.170984,19.170984,17.705381,0
2011-06-20,19.170984,19.170984,19.170984,19.170984,17.705381,0
2011-06-21,19.170984,19.170984,19.170984,19.170984,17.705381,0
2011-06-22,19.512953,19.554403,19.512953,19.544041,18.049915,1737
2011-06-23,19.170984,19.450777,19.129534,19.440414,17.954210,15054
2011-06-24,19.440414,19.440414,19.440414,19.440414,17.981050,0
2011-06-27,19.585491,19.585491,19.585491,19.585491,18.115236,483
2011-06-28,19.585491,19.585491,19.585491,19.585491,18.115236,0
2011-06-29,19.917097,19.917097,19.792746,19.792746,18.306934,4246
2011-06-30,20.010363,20.072538,20.010363,20.072538,18.565723,386
2011-07-04,20.072538,20.072538,20.072538,20.072538,18.565723,0
2011-07-05,20.487047,20.569948,20.476685,20.569948,19.025795,14668
2011-07-06,20.538860,20.621761,20.538860,20.621761,19.073715,869
2011-07-07,20.621761,20.621761,20.621761,20.621761,19.073715,0
2011-07-08,20.725389,20.808290,20.725389,20.777203,19.217491,9843
2011-07-11,20.497410,20.497410,20.445597,20.445597,18.910774,579
2011-07-12,20.424870,20.435232,20.424870,20.435232,18.901192,1158
2011-07-13,20.435232,20.435232,20.435232,20.435232,18.901192,0
2011-07-14,20.518135,20.518135,20.176167,20.207254,18.690323,1255
2011-07-15,20.207254,20.207254,20.207254,20.207254,18.690323,0
2011-07-18,20.424870,20.424870,20.259068,20.259068,18.738247,579
2011-07-19,20.663212,20.694302,20.663212,20.694302,19.140814,1834
2011-07-20,20.932642,20.932642,20.725389,20.725389,19.169569,4246
2011-07-21,20.746115,20.891191,20.746115,20.870466,19.303755,4246
2011-07-22,20.932642,20.932642,20.932642,20.932642,19.361259,193
2011-07-25,21.036268,21.036268,21.036268,21.036268,19.457106,965
2011-07-26,21.088083,21.119171,21.088083,21.119171,19.533785,483
2011-07-27,20.725389,20.725389,20.673574,20.673574,19.121637,1930
2011-07-28,20.559586,20.621761,20.559586,20.621761,19.073715,1062
2011-07-29,20.621761,20.621761,20.621761,20.621761,19.073715,0
2011-08-02,20.362694,20.362694,20.010363,20.010363,18.508217,5018
2011-08-03,20.010363,20.010363,20.010363,20.010363,18.508217,0
2011-08-04,19.181347,19.181347,19.170984,19.170984,17.731850,965
2011-08-05,19.274611,19.388601,19.056995,19.056995,17.626411,5694
2011-08-08,18.528498,18.580311,17.927462,17.979275,16.629597,6466
2011-08-09,18.186527,18.300518,17.626944,18.103626,16.744612,96307
2011-08-10,18.404144,18.404144,18.134714,18.134714,16.773373,4343
2011-08-11,18.290155,18.632124,18.290155,18.632124,17.233442,386
2011-08-12,18.901554,18.901554,18.901554,18.901554,17.482641,1158
2011-08-15,19.067358,19.077721,18.984455,18.984455,17.559322,3860
2011-08-16,19.015545,19.015545,18.829016,18.829016,17.415550,6562
2011-08-17,19.025908,19.025908,18.829016,18.829016,17.415550,3957
2011-08-18,18.414509,18.414509,17.782383,17.792746,16.457071,10326
2011-08-19,17.761658,18.062176,17.616579,17.616579,16.294132,4246
2011-08-22,18.072538,18.072538,17.730570,17.730570,16.399567,3185
2011-08-23,17.730570,17.730570,17.730570,17.730570,16.399567,0
2011-08-24,18.528498,18.559586,18.528498,18.559586,17.166346,1448
2011-08-25,18.663212,18.663212,18.352331,18.352331,16.974651,386
2011-08-26,18.155439,18.766838,18.155439,18.766838,17.358040,11387
2011-08-29,19.160622,19.295338,19.129534,19.295338,17.846865,483
2011-08-30,19.274611,19.274611,19.274611,19.274611,17.827694,483
2011-08-31,19.471502,19.523315,19.471502,19.471502,18.009804,772
2011-09-01,19.564768,19.585491,19.440414,19.440414,17.981050,37056
2011-09-02,19.025908,19.025908,19.025908,19.025908,17.597656,290
2011-09-06,18.404144,18.497410,18.393782,18.424870,17.041742,2220
2011-09-07,18.424870,18.424870,18.424870,18.424870,17.041742,0
2011-09-08,19.326426,19.336788,19.243523,19.243523,17.798943,2316
2011-09-09,19.243523,19.243523,19.243523,19.243523,17.798943,0
2011-09-12,18.735750,18.735750,18.735750,18.735750,17.329288,290
2011-09-13,19.202072,19.202072,19.202072,19.202072,17.760601,965
2011-09-14,19.450777,19.481865,19.398964,19.481865,18.019390,1737
2011-09-15,19.481865,19.481865,19.481865,19.481865,18.019390,0
2011-09-16,19.481865,19.481865,19.481865,19.481865,18.019390,0
2011-09-19,19.751295,20.155439,19.751295,20.155439,18.642401,1255
2011-09-20,20.259068,20.259068,20.259068,20.259068,18.738247,1255
2011-09-21,20.062176,20.062176,20.062176,20.062176,18.556137,4922
2011-09-22,18.984455,19.129534,18.818653,18.818653,17.405970,1062
2011-09-23,19.056995,19.056995,19.056995,19.056995,17.626411,965
2011-09-26,19.056995,19.056995,19.056995,19.056995,17.626411,0
2011-09-27,19.056995,19.056995,19.056995,19.056995,17.626411,0
2011-09-28,19.056995,19.056995,19.056995,19.056995,17.626411,0
2011-09-29,19.056995,19.056995,19.056995,19.056995,17.626411,0
2011-09-30,18.963732,18.963732,18.963732,18.963732,17.540155,193
2011-10-03,18.487047,18.487047,18.155439,18.186527,16.821291,49794
2011-10-04,18.186527,18.186527,18.186527,18.186527,16.821291,0
2011-10-05,18.507772,18.922279,18.507772,18.911917,17.492231,4536
2011-10-06,18.911917,18.911917,18.911917,18.911917,17.492231,0
2011-10-07,19.170984,19.202072,19.108809,19.108809,17.674339,1448
2011-10-11,19.108809,19.108809,19.108809,19.108809,17.674339,0
2011-10-12,20.041451,20.165804,20.041451,20.155439,18.642401,1351
2011-10-13,20.082903,20.124352,20.082903,20.124352,18.613646,772
2011-10-14,20.414509,20.414509,20.414509,20.414509,18.882027,965
2011-10-17,20.549223,20.549223,20.404144,20.404144,18.872435,22195
2011-10-18,20.300518,20.300518,20.300518,20.300518,18.776587,965
2011-10-19,20.404144,20.404144,20.404144,20.404144,18.872435,386
